id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche,Wochentag,Monat,Jahr,Jahreszeit,Gefühl,gefühl_Kalt,gefühl_Mild,gefühl_Warm,Feiertag,KielLauf,Kieler_Triathlon,Fußball,PaycheckEffect,InflationSensitivity,Sensitivity_High,Sensitivity_Moderate,Windkategorie,Wind_Nicht windig,Wind_Sehr windig,Wind_Windig,Jahreszeit_Frühling,Jahreszeit_Herbst,Jahreszeit_Sommer,Jahreszeit_Winter,Ferien,Tag_Kategorie,Wochenende,Inflation_Kategorisierung,Inflation_Kategorisierung_Neutral,Inflation_Kategorisierung_Positiv,Montag,Dienstag,Mittwoch,Donnerstag,Freitag,Samstag,Sonntag,Brot,Brötchen,Croissant,Konditorei,Kuchen,Saisonbrot
1307011,2013-07-01,1,148.828353112183,6.0,17.8375,15,20.0,0,0,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1307031,2013-07-03,1,111.885593514353,7.0,21.075,6,61.0,0,2,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Nicht windig,1,0,0,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1307041,2013-07-04,1,168.864940979931,7.0,18.85,7,20.0,0,3,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Nicht windig,1,0,0,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1307081,2013-07-08,1,135.500244042392,0.0,22.725,10,5.0,0,0,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
1307101,2013-07-10,1,135.132314289581,2.0,19.6875,13,5.0,0,2,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1307111,2013-07-11,1,138.549392636714,0.0,21.375,12,5.0,0,3,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1307141,2013-07-14,1,112.524365708762,5.0,17.6875,15,5.0,0,6,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Wochenende,1,Positiv,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1307181,2013-07-18,1,101.90072129658,1.0,23.25,11,5.0,0,3,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
1307191,2013-07-19,1,161.63511518654,3.0,22.475,16,5.0,0,4,7,2013,Sommer,Mild,0,1,0,0,0,0,0,0,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1307281,2013-07-28,1,86.0791432446654,4.0,24.8875,13,61.0,0,6,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Windig,0,0,1,0,0,1,0,1,Wochenende,1,Positiv,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
1307301,2013-07-30,1,132.111640117897,5.0,21.075,13,21.0,0,1,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1307311,2013-07-31,1,144.745431773143,5.0,20.275,16,65.0,0,2,7,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Windig,0,0,1,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
1308011,2013-08-01,1,157.854023011106,6.0,23.4,7,21.0,0,3,8,2013,Sommer,Mild,0,1,0,0,0,0,0,1,High,1,0,Nicht windig,1,0,0,0,0,1,0,1,Montag_bis_Freitag,0,Positiv,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
