Jahr,Monat,Verbraucherpreisindex,Veränderung_Vorjahresmonat,Veränderung_Vormonat,Inflation_Kategorisierung,Inflation_Kategorisierung_Neutral,Inflation_Kategorisierung_Positiv
2012,1,90.6,2.1,-0.1,Positiv,False,True
2012,2,91.2,2.1,0.7,Positiv,False,True
2012,3,91.7,2.1,0.5,Positiv,False,True
2012,4,91.6,2.0,-0.1,Positiv,False,True
2012,5,91.5,1.9,-0.1,Positiv,False,True
2012,6,91.4,1.7,-0.1,Positiv,False,True
2012,7,91.7,1.8,0.3,Positiv,False,True
2012,8,92.1,2.1,0.4,Positiv,False,True
2012,9,92.2,2.1,0.1,Positiv,False,True
2012,10,92.2,2.0,0.0,Positiv,False,True
2012,11,92.2,1.9,0.0,Positiv,False,True
2012,12,92.5,2.0,0.3,Positiv,False,True
2013,1,92.1,1.7,-0.4,Positiv,False,True
2013,2,92.6,1.5,0.5,Positiv,False,True
2013,3,93.0,1.4,0.4,Positiv,False,True
2013,4,92.6,1.1,-0.4,Positiv,False,True
2013,5,93.0,1.6,0.4,Positiv,False,True
2013,6,93.1,1.9,0.1,Positiv,False,True
2013,7,93.5,2.0,0.4,Positiv,False,True
2013,8,93.5,1.5,0.0,Positiv,False,True
2013,9,93.5,1.4,0.0,Positiv,False,True
2013,10,93.3,1.2,-0.2,Positiv,False,True
2013,11,93.5,1.4,0.2,Positiv,False,True
2013,12,93.9,1.5,0.4,Positiv,False,True
2014,1,93.3,1.3,-0.6,Positiv,False,True
2014,2,93.8,1.3,0.5,Positiv,False,True
2014,3,94.0,1.1,0.2,Positiv,False,True
2014,4,93.9,1.4,-0.1,Positiv,False,True
2014,5,93.8,0.9,-0.1,Positiv,False,True
2014,6,94.0,1.0,0.2,Positiv,False,True
2014,7,94.3,0.9,0.3,Positiv,False,True
2014,8,94.3,0.9,0.0,Positiv,False,True
2014,9,94.3,0.9,0.0,Positiv,False,True
2014,10,94.1,0.9,-0.2,Positiv,False,True
2014,11,94.1,0.6,0.0,Positiv,False,True
2014,12,94.0,0.1,-0.1,Positiv,False,True
2015,1,93.1,-0.2,-1.0,Negativ,False,False
2015,2,93.8,0.0,0.8,Neutral,True,False
2015,3,94.3,0.3,0.5,Positiv,False,True
2015,4,94.7,0.9,0.4,Positiv,False,True
2015,5,94.9,1.2,0.2,Positiv,False,True
2015,6,94.9,1.0,0.0,Positiv,False,True
2015,7,95.1,0.8,0.2,Positiv,False,True
2015,8,95.0,0.7,-0.1,Positiv,False,True
2015,9,94.9,0.6,-0.1,Positiv,False,True
2015,10,94.9,0.9,0.0,Positiv,False,True
2015,11,94.3,0.2,-0.6,Positiv,False,True
2015,12,94.3,0.3,0.0,Positiv,False,True
2016,1,93.6,0.5,-0.7,Positiv,False,True
2016,2,93.9,0.1,0.3,Positiv,False,True
2016,3,94.5,0.2,0.6,Positiv,False,True
2016,4,94.6,-0.1,0.1,Negativ,False,False
2016,5,95.1,0.2,0.5,Positiv,False,True
2016,6,95.2,0.3,0.1,Positiv,False,True
2016,7,95.5,0.4,0.3,Positiv,False,True
2016,8,95.4,0.4,-0.1,Positiv,False,True
2016,9,95.5,0.6,0.1,Positiv,False,True
2016,10,95.6,0.7,0.1,Positiv,False,True
2016,11,95.0,0.7,-0.6,Positiv,False,True
2016,12,95.6,1.4,0.6,Positiv,False,True
2017,1,95.1,1.6,-0.5,Positiv,False,True
2017,2,95.6,1.8,0.5,Positiv,False,True
2017,3,95.8,1.4,0.2,Positiv,False,True
2017,4,96.2,1.7,0.4,Positiv,False,True
2017,5,96.2,1.2,0.0,Positiv,False,True
2017,6,96.5,1.4,0.3,Positiv,False,True
2017,7,96.9,1.5,0.4,Positiv,False,True
2017,8,97.0,1.7,0.1,Positiv,False,True
2017,9,97.0,1.6,0.0,Positiv,False,True
2017,10,96.9,1.4,-0.1,Positiv,False,True
2017,11,96.5,1.6,-0.4,Positiv,False,True
2017,12,96.9,1.4,0.4,Positiv,False,True
2018,1,96.4,1.4,-0.5,Positiv,False,True
2018,2,96.7,1.2,0.3,Positiv,False,True
2018,3,97.2,1.5,0.5,Positiv,False,True
