Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2013-07-01,1,148.828353112183,6.0,17.8375,15,20.0
2013-07-03,1,111.885593514353,7.0,21.075,6,61.0
2013-07-04,1,168.864940979931,7.0,18.85,7,20.0
2013-07-08,1,135.500244042392,0.0,22.725,10,5.0
2013-07-10,1,135.132314289581,2.0,19.6875,13,5.0
2013-07-11,1,138.549392636714,0.0,21.375,12,5.0
2013-07-14,1,112.524365708762,5.0,17.6875,15,5.0
2013-07-18,1,101.90072129658,1.0,23.25,11,5.0
2013-07-19,1,161.63511518654,3.0,22.475,16,5.0
2013-07-28,1,86.0791432446654,4.0,24.8875,13,61.0
2013-07-30,1,132.111640117897,5.0,21.075,13,21.0
2013-07-31,1,144.745431773143,5.0,20.275,16,65.0
2013-08-01,1,157.854023011106,6.0,23.4,7,21.0
2013-08-03,1,186.027178770079,4.0,23.3625,11,63.0
2013-08-08,1,153.099424561652,7.0,16.975,12,20.0
2013-08-09,1,125.620344387906,4.0,20.3375,10,21.0
2013-08-10,1,185.177162656408,7.0,19.3625,12,61.0
2013-08-11,1,73.2088330039992,7.0,16.3875,9,61.0
2013-08-12,1,154.504729536697,7.0,16.45,11,63.0
2013-08-13,1,134.064451548102,3.0,16.4,16,95.0
2013-08-14,1,156.972510536869,4.0,18.2625,18,61.0
2013-08-16,1,147.79799759804,4.0,23.575,11,0.0
2013-08-17,1,221.630418006017,6.0,20.55,7,0.0
2013-08-18,1,92.489778506026,7.0,18.5875,10,63.0
2013-08-20,1,111.842396126739,7.0,17.775,8,61.0
2013-08-24,1,201.543109556297,0.0,20.85,16,5.0
2013-08-25,1,83.0226725739551,0.0,21.3875,16,5.0
2013-08-26,1,165.829031676714,0.0,20.125,15,5.0
2013-08-30,1,133.150828452892,6.0,19.7875,8,5.0
2013-08-31,1,130.821314898435,5.0,18.35,16,21.0
2013-09-01,1,95.9704314892471,7.0,15.8625,16,61.0
2013-09-02,1,138.408723210465,7.0,16.575,17,63.0
2013-09-03,1,138.825618927843,7.0,18.225,11,21.0
2013-09-08,1,88.8925958109828,7.0,20.1625,8,61.0
2013-09-09,1,169.359968504942,8.0,11.575,11,63.0
2013-09-10,1,89.6944536084346,6.0,13.5875,11,65.0
2013-09-11,1,103.363686559795,6.0,13.9,8,61.0
2013-09-12,1,106.474399987548,6.0,16.1125,6,61.0
2013-09-13,1,122.564626199915,6.0,17.4375,5,21.0
2013-09-14,1,174.938807466572,5.0,17.625,10,63.0
2013-09-15,1,55.1960062296304,7.0,14.8625,10,21.0
2013-09-16,1,146.760234890658,3.0,13.1375,13,21.0
2013-09-17,1,136.118044538363,5.0,13.1375,10,63.0
2013-09-19,1,148.674992078993,5.0,14.8375,11,63.0
2013-09-22,1,86.6668973821597,6.0,17.1375,14,21.0
2013-09-23,1,111.128410563554,7.0,17.3125,14,21.0
2013-09-25,1,117.94119333604,6.0,13.5375,7,61.0
2013-09-27,1,135.507291692088,5.0,13.0125,8,21.0
2013-10-01,1,123.397540137977,0.0,12.9125,13,5.0
2013-10-03,1,75.2337302417469,0.0,11.7625,12,5.0
2013-10-04,1,156.066122625816,5.0,11.2,8,63.0
2013-10-05,1,152.280762053885,7.0,15.575,8,20.0
2013-10-08,1,96.867100978839,6.0,15.1125,8,61.0
2013-10-09,1,149.761758936995,7.0,14.3125,10,21.0
2013-10-11,1,123.2348187168,7.0,13.8625,20,10.0
2013-10-12,1,140.262421715801,8.0,13.025,21,63.0
2013-10-15,1,130.431802598324,7.0,10.6625,4,63.0
2013-10-17,1,89.9411837855476,7.0,12.0,15,65.0
